Ti,TiErr,vTorr,vTorrErr,t
0.0,0.0,0.0,0.0,0.099991
0.0,0.0,0.0,0.0,0.10499
0.0,0.0,0.0,0.0,0.109991
0.0,0.0,0.0,0.0,0.11499
0.0,0.0,0.0,0.0,0.119991
0.0,0.0,0.0,0.0,0.124991
0.0,0.0,0.0,0.0,0.129991
0.0,0.0,0.0,0.0,0.13499
0.0,0.0,0.0,0.0,0.139991
0.0,0.0,0.0,0.0,0.144991
0.0,0.0,0.0,0.0,0.14999
0.0,0.0,0.0,0.0,0.15499
0.0,0.0,0.0,0.0,0.15999
123.46994767434836,46.06541255204306,4292.047900552228,2808.4296743405257,0.16499
138.10489118877774,33.07961365213723,19440.270758798943,1917.032223507492,0.16999
106.13484141805671,12.75100794825659,23430.810982278188,825.7021631564571,0.174989
65.28297932614119,19.67443055158453,14694.268937322635,1235.4829616914326,0.17999
102.97267291411798,15.460894528185337,25368.339322100815,987.2872109851878,0.184989
88.11808101960963,13.686379432129227,23130.844166856983,881.4997855070609,0.189991
53.46169555259191,14.852271583867136,20313.807036127695,975.8513726219151,0.19499
25.677879848013678,11.074423013950035,20356.274944626162,736.052026475639,0.19999
101.07176621758123,4.944733816575614,15345.063985663091,321.613459428174,0.20499
96.31154172345283,2.8168998027586736,16562.476798735617,190.24745791094534,0.209989
103.36950432079394,2.6733869750918005,16406.76120875839,180.25318646701794,0.214989
113.89203002795949,2.223514639652162,17949.76116739217,149.72975986734747,0.219989
129.92122464221023,1.609747851825762,18559.171751733214,107.63653692630362,0.224989
138.59870395671263,1.346498296988492,21093.152341842186,90.60648858419576,0.229989
136.45296733357202,1.2309376560094378,23938.578384835244,83.3391063150827,0.234986
151.50752327245823,1.1563027640430659,24166.08298661666,77.79802978792557,0.239986
155.1074041875838,1.1020946083453094,25383.58791657645,74.02076025847485,0.244986
163.65722338347857,1.0574214020576,27649.775771741646,70.49088012860508,0.249986
162.01048467035992,0.990654374812065,26644.5625660589,66.55958872258032,0.254986
173.5435609629007,0.9955456390743482,27423.220957979636,66.6233403157876,0.259986
181.01333426628054,1.0623423849509182,27904.570913909658,70.58008486311576,0.264986
216.94375235361844,0.9948250992180152,27964.764622336806,64.76784328328127,0.269985
218.1941877763848,0.9775180622330105,27639.106264361406,63.71603359446384,0.274985
223.6938471395374,0.9609462913810964,28361.26607560477,62.12087148254639,0.279987
223.60421139623526,1.0340920873749408,29833.726898287936,66.63219935545386,0.284986
245.07247602813922,1.2281752241707933,29706.317942365975,77.19444412439461,0.289986
279.309897213461,1.793604082809792,27200.06981314592,107.13398218220871,0.294986
